persona,age,employment_status,monthly_income,monthly_expenses,monthly_savings,emergency_fund,total_debt,investments,insurance_cover,financial_goal,savings_rate,expense_ratio,disposable_income,debt_to_income_ratio,emergency_fund_months,investment_ratio,insurance_ratio,net_monthly_cashflow,financial_health_score
High Income High Debt,40,Salaried,247621.0,215430.0,12381.0,505147.0,13974090.0,2674307.0,41065467.0,Debt Reduction,0.05,0.87,32191.0,4.7,2.34,0.9,13.82,19810.0,22.02
Mid Career,45,Salaried,153685.0,78379.0,46106.0,923647.0,731030.0,1106532.0,32937769.0,Children Education,0.3,0.51,75306.0,0.4,11.78,0.6,17.86,29200.0,73.79
High Income High Debt,45,Salaried,895703.0,662820.0,89570.0,1567480.0,10468214.0,8383780.0,144996402.0,Debt Reduction,0.1,0.74,232883.0,0.97,2.36,0.78,13.49,143313.0,41.51
Retired,59,Retired,58820.0,44115.0,9999.0,448797.0,456829.0,2039878.0,8095985.0,Retirement,0.17,0.75,14705.0,0.65,10.17,2.89,11.47,4706.0,65.08
Business Owner,45,Business,115157.0,64488.0,20728.0,633364.0,9144907.0,3053964.0,16969536.0,Business,0.18,0.56,50669.0,6.62,9.82,2.21,12.28,29941.0,45.39
Mid Career,36,Salaried,152640.0,90058.0,59530.0,1092902.0,1025609.0,1520294.0,27841536.0,Children Education,0.39,0.59,62582.0,0.56,12.14,0.83,15.2,3052.0,77.44
Mid Career,34,Salaried,124195.0,63339.0,32291.0,572539.0,2551632.0,864397.0,27019864.0,Buy a House,0.26,0.51,60856.0,1.71,9.04,0.58,18.13,28565.0,56.15
Young Salaried,29,Salaried,37245.0,14898.0,6704.0,143393.0,110998.0,49163.0,4371073.0,Buy a Car,0.18,0.4,22347.0,0.25,9.62,0.11,9.78,15643.0,60.55
Young Salaried,27,Salaried,48144.0,27442.0,16850.0,248904.0,248976.0,184873.0,7787773.0,Buy a Car,0.35,0.57,20702.0,0.43,9.07,0.32,13.48,3852.0,69.29
Disciplined Saver,26,Salaried,39074.0,19537.0,13676.0,327049.0,27073.0,529843.0,8289940.0,Wealth Creation,0.35,0.5,19537.0,0.06,16.74,1.13,17.68,5861.0,81.26
Retired,66,Retired,56448.0,44594.0,6209.0,496742.0,164414.0,765435.0,8494295.0,Retirement,0.11,0.79,11854.0,0.24,11.14,1.13,12.54,5645.0,62.57
Freelancer,32,Freelancer,72415.0,48518.0,10138.0,262866.0,16843.0,417110.0,11244601.0,Wealth Creation,0.14,0.67,23897.0,0.02,5.42,0.48,12.94,13759.0,55.56
Freelancer,44,Freelancer,189305.0,88973.0,20824.0,927594.0,250251.0,908664.0,28395750.0,Emergency Fund,0.11,0.47,100332.0,0.11,10.43,0.4,12.5,79508.0,61.84
Disciplined Saver,36,Salaried,25201.0,10584.0,8820.0,256294.0,53865.0,320557.0,4046273.0,Wealth Creation,0.35,0.42,14617.0,0.18,24.22,1.06,13.38,5797.0,79.46
Freelancer,29,Freelancer,43632.0,29233.0,4363.0,303242.0,227014.0,68066.0,6324895.0,Emergency Fund,0.1,0.67,14399.0,0.43,10.37,0.13,12.08,10036.0,56.88
Freelancer,45,Freelancer,124650.0,89748.0,24930.0,376443.0,97841.0,628236.0,20552292.0,Wealth Creation,0.2,0.72,34902.0,0.07,4.19,0.42,13.74,9972.0,55.75
Young Salaried,27,Salaried,40363.0,27043.0,11705.0,128354.0,267967.0,125933.0,6364438.0,Wealth Creation,0.29,0.67,13320.0,0.55,4.75,0.26,13.14,1615.0,56.6
Young Salaried,25,Salaried,59717.0,25081.0,16721.0,275893.0,227740.0,265143.0,8097625.0,Wealth Creation,0.28,0.42,34636.0,0.32,11.0,0.37,11.3,17915.0,69.4
Wealth Builder,41,Business,102533.0,45115.0,49216.0,966886.0,22292.0,3875747.0,25370766.0,Wealth Creation,0.48,0.44,57418.0,0.02,21.43,3.15,20.62,8202.0,90.0
Disciplined Saver,33,Freelancer,49079.0,15214.0,23558.0,366620.0,53877.0,588948.0,10341927.0,Wealth Creation,0.48,0.31,33865.0,0.09,24.1,1.0,17.56,10307.0,83.77
Business Owner,45,Business,475418.0,199676.0,90329.0,3784327.0,9136961.0,3251859.0,71883202.0,Business,0.19,0.42,275742.0,1.6,18.95,0.57,12.6,185413.0,57.01
Young Salaried,29,Salaried,34751.0,15985.0,7298.0,76105.0,12663.0,100083.0,5008314.0,Wealth Creation,0.21,0.46,18766.0,0.03,4.76,0.24,12.01,11468.0,57.59
Student,21,Student,6195.0,5699.0,805.0,3903.0,56150.0,0.0,74340.0,Emergency Fund,0.13,0.92,496.0,0.76,0.68,0.0,1.0,-309.0,28.59
Student,20,Student,2602.0,2186.0,312.0,1171.0,60679.0,1249.0,63697.0,Higher Education,0.12,0.84,416.0,1.94,0.54,0.04,2.04,104.0,19.96
Retired,64,Retired,89329.0,54491.0,14293.0,812001.0,275898.0,3097930.0,13688776.0,Retirement,0.16,0.61,34838.0,0.26,14.9,2.89,12.77,20545.0,72.97
Business Owner,42,Business,857758.0,497500.0,162974.0,4717669.0,1041880.0,5146548.0,167056948.0,Business,0.19,0.58,360258.0,0.1,9.48,0.5,16.23,197284.0,66.08
Freelancer,43,Freelancer,195060.0,120937.0,39012.0,1414185.0,3459.0,1006510.0,31037947.0,Emergency Fund,0.2,0.62,74123.0,0.0,11.69,0.43,13.26,35111.0,69.48
Young Salaried,28,Salaried,57531.0,25889.0,16684.0,226097.0,266155.0,110460.0,7518151.0,Buy a Car,0.29,0.45,31642.0,0.39,8.73,0.16,10.89,14958.0,64.53
Young Salaried,25,Salaried,75925.0,37962.0,17463.0,331033.0,126505.0,346218.0,7944792.0,Buy a Car,0.23,0.5,37963.0,0.14,8.72,0.38,8.72,20500.0,62.39
Student,22,Student,11630.0,9537.0,1047.0,10467.0,16667.0,1396.0,369834.0,Emergency Fund,0.09,0.82,2093.0,0.12,1.1,0.01,2.65,1046.0,35.75
Young Salaried,22,Salaried,61479.0,26436.0,16599.0,292025.0,183536.0,59020.0,8122605.0,Buy a Car,0.27,0.43,35043.0,0.25,11.05,0.08,11.01,18444.0,68.42
Mid Career,33,Salaried,139889.0,50360.0,48961.0,798766.0,1806555.0,1561161.0,29964224.0,Buy a House,0.35,0.36,89529.0,1.08,15.86,0.93,17.85,40568.0,72.93
Mid Career,33,Salaried,161645.0,71124.0,45261.0,738718.0,2406411.0,950473.0,26846002.0,Children Education,0.28,0.44,90521.0,1.24,10.39,0.49,13.84,45260.0,62.68
Young Salaried,26,Salaried,60850.0,31642.0,13387.0,164904.0,78888.0,248268.0,9025272.0,Buy a Car,0.22,0.52,29208.0,0.11,5.21,0.34,12.36,15821.0,58.49
Business Owner,59,Business,446326.0,205310.0,98192.0,3084113.0,8556909.0,14032489.0,95388793.0,Business,0.22,0.46,241016.0,1.6,15.02,2.62,17.81,142824.0,66.24
Young Salaried,26,Salaried,50418.0,33780.0,7563.0,234444.0,182123.0,163354.0,6038060.0,Buy a Car,0.15,0.67,16638.0,0.3,6.94,0.27,9.98,9075.0,53.63
Mid Career,37,Salaried,150181.0,84101.0,55567.0,1178921.0,2652518.0,432521.0,28294100.0,Children Education,0.37,0.56,66080.0,1.47,14.02,0.24,15.7,10513.0,67.39
Mid Career,40,Salaried,147272.0,79527.0,41236.0,880687.0,2564458.0,706906.0,28629677.0,Children Education,0.28,0.54,67745.0,1.45,11.07,0.4,16.2,26509.0,62.02
Mid Career,33,Salaried,106996.0,53498.0,28889.0,843128.0,1164077.0,1219754.0,17898291.0,Buy a House,0.27,0.5,53498.0,0.91,15.76,0.95,13.94,24609.0,68.73
Mid Career,33,Salaried,156405.0,73510.0,54742.0,833639.0,794084.0,713207.0,36167092.0,Children Education,0.35,0.47,82895.0,0.42,11.34,0.38,19.27,28153.0,75.11
Retired,79,Retired,71937.0,41723.0,20142.0,509314.0,444462.0,1812812.0,9979101.0,Retirement,0.28,0.58,30214.0,0.51,12.21,2.1,11.56,10072.0,73.92
Young Salaried,29,Salaried,75957.0,31142.0,17470.0,198248.0,68532.0,218756.0,10518525.0,Wealth Creation,0.23,0.41,44815.0,0.08,6.37,0.24,11.54,27345.0,60.79
Mid Career,40,Salaried,171015.0,63276.0,56435.0,812321.0,929100.0,1826440.0,40817860.0,Buy a House,0.33,0.37,107739.0,0.45,12.84,0.89,19.89,51304.0,76.93
Mid Career,41,Salaried,115160.0,49519.0,43761.0,572345.0,2689149.0,511310.0,26132107.0,Buy a House,0.38,0.43,65641.0,1.95,11.56,0.37,18.91,21880.0,64.54
Freelancer,41,Freelancer,169464.0,69480.0,33893.0,720222.0,128006.0,264364.0,29222372.0,Wealth Creation,0.2,0.41,99984.0,0.06,10.37,0.13,14.37,66091.0,67.56
Disciplined Saver,44,Freelancer,25976.0,12728.0,11429.0,268592.0,71531.0,458217.0,4544761.0,Wealth Creation,0.44,0.49,13248.0,0.23,21.1,1.47,14.58,1819.0,82.9
Retired,76,Retired,116427.0,68692.0,31435.0,1078114.0,130246.0,3059702.0,14767601.0,Retirement,0.27,0.59,47735.0,0.09,15.69,2.19,10.57,16300.0,76.45
Young Salaried,27,Salaried,67359.0,37047.0,18187.0,152231.0,32531.0,113163.0,12011457.0,Wealth Creation,0.27,0.55,30312.0,0.04,4.11,0.14,14.86,12125.0,60.72
Mid Career,32,Salaried,187375.0,71202.0,61834.0,845061.0,2028488.0,1911225.0,29208015.0,Children Education,0.33,0.38,116173.0,0.9,11.87,0.85,12.99,54339.0,71.46
Student,24,Student,9788.0,9103.0,1272.0,7439.0,78638.0,1175.0,137424.0,Higher Education,0.13,0.93,685.0,0.67,0.82,0.01,1.17,-587.0,29.72
Mid Career,43,Salaried,100135.0,44059.0,28038.0,624842.0,1224812.0,660891.0,17832041.0,Children Education,0.28,0.44,56076.0,1.02,14.18,0.55,14.84,28038.0,68.04
Disciplined Saver,30,Freelancer,26935.0,10774.0,10774.0,282279.0,57590.0,277969.0,4143680.0,Wealth Creation,0.4,0.4,16161.0,0.18,26.2,0.86,12.82,5387.0,81.29
Young Salaried,23,Salaried,48703.0,20942.0,9254.0,160233.0,38074.0,58444.0,7819754.0,Buy a Car,0.19,0.43,27761.0,0.07,7.65,0.1,13.38,18507.0,61.59
Mid Career,33,Salaried,68365.0,38968.0,17091.0,424547.0,868058.0,746546.0,13864422.0,Buy a House,0.25,0.57,29397.0,1.06,10.89,0.91,16.9,12306.0,64.76
Mid Career,36,Salaried,102858.0,50400.0,33943.0,747778.0,2075814.0,1209610.0,23315851.0,Children Education,0.33,0.49,52458.0,1.68,14.84,0.98,18.89,18515.0,66.33
Business Owner,47,Business,420605.0,231333.0,109357.0,2961059.0,8610907.0,13072403.0,82674119.0,Wealth Creation,0.26,0.55,189272.0,1.71,12.8,2.59,16.38,79915.0,66.88
Business Owner,57,Business,187371.0,133033.0,56211.0,888139.0,6937847.0,3867337.0,36987035.0,Business,0.3,0.71,54338.0,3.09,6.68,1.72,16.45,-1873.0,45.04
Mid Career,39,Salaried,129552.0,60889.0,36275.0,546709.0,1898606.0,1539078.0,28947099.0,Children Education,0.28,0.47,68663.0,1.22,8.98,0.99,18.62,32388.0,62.63
High Income High Debt,51,Business,826605.0,537293.0,99193.0,1239908.0,18693441.0,7042675.0,112583601.0,Debt Reduction,0.12,0.65,289312.0,1.88,2.31,0.71,11.35,190119.0,33.67
Freelancer,40,Freelancer,121960.0,86592.0,30490.0,823230.0,28107.0,336610.0,20211211.0,Emergency Fund,0.25,0.71,35368.0,0.02,9.51,0.23,13.81,4878.0,66.89
Business Owner,51,Business,539862.0,280728.0,91777.0,4032769.0,3824930.0,15742376.0,99118663.0,Business,0.17,0.52,259134.0,0.59,14.37,2.43,15.3,167357.0,71.23
Business Owner,55,Business,781125.0,312450.0,226526.0,4921088.0,2946234.0,14997600.0,124480080.0,Wealth Creation,0.29,0.4,468675.0,0.31,15.75,1.6,13.28,242149.0,76.78
Wealth Builder,30,Business,203322.0,60997.0,75229.0,2039320.0,342515.0,8759112.0,54238177.0,Wealth Creation,0.37,0.3,142325.0,0.14,33.43,3.59,22.23,67096.0,90.09
Young Salaried,26,Salaried,74639.0,49262.0,23884.0,232874.0,90286.0,116437.0,9189554.0,Buy a Car,0.32,0.66,25377.0,0.1,4.73,0.13,10.26,1493.0,59.57
Mid Career,44,Salaried,199201.0,87648.0,73704.0,1537832.0,493738.0,1984042.0,30262616.0,Buy a House,0.37,0.44,111553.0,0.21,17.55,0.83,12.66,37849.0,79.0
Business Owner,39,Business,282018.0,121268.0,42303.0,1452393.0,6373081.0,7952908.0,53809034.0,Wealth Creation,0.15,0.43,160750.0,1.88,11.98,2.35,15.9,118447.0,59.41
Mid Career,40,Salaried,73851.0,28802.0,29540.0,375163.0,2733236.0,336761.0,11529618.0,Children Education,0.4,0.39,45049.0,3.08,13.03,0.38,13.01,15509.0,56.53
Mid Career,37,Salaried,150870.0,64874.0,31683.0,787541.0,2977731.0,1502665.0,29492068.0,Buy a House,0.21,0.43,85996.0,1.64,12.14,0.83,16.29,54313.0,60.11
Young Salaried,22,Salaried,39834.0,26689.0,7568.0,127469.0,292449.0,109942.0,5812577.0,Buy a Car,0.19,0.67,13145.0,0.61,4.78,0.23,12.16,5577.0,50.68
Mid Career,36,Salaried,128499.0,47545.0,30840.0,769709.0,2225077.0,1372369.0,29868308.0,Buy a House,0.24,0.37,80954.0,1.44,16.19,0.89,19.37,50114.0,63.77
Student,20,Student,809.0,502.0,97.0,113.0,28539.0,388.0,33978.0,Higher Education,0.12,0.62,307.0,2.94,0.23,0.04,3.5,210.0,14.26
Mid Career,30,Salaried,75327.0,26364.0,24858.0,596590.0,841063.0,415805.0,14968981.0,Children Education,0.33,0.35,48963.0,0.93,22.63,0.46,16.56,24105.0,71.72
Young Salaried,29,Salaried,58390.0,26276.0,14598.0,117948.0,247313.0,196190.0,8758500.0,Buy a Car,0.25,0.45,32114.0,0.35,4.49,0.28,12.5,17516.0,57.09
Business Owner,60,Business,412118.0,214301.0,98908.0,1611381.0,4940728.0,9247928.0,80560827.0,Wealth Creation,0.24,0.52,197817.0,1.0,7.52,1.87,16.29,98909.0,62.31
Business Owner,38,Business,844588.0,396956.0,185809.0,4332736.0,1621265.0,16013388.0,174424314.0,Wealth Creation,0.22,0.47,447632.0,0.16,10.91,1.58,17.21,261823.0,73.26
Young Salaried,26,Salaried,69412.0,33318.0,24294.0,152706.0,227274.0,299860.0,9437256.0,Wealth Creation,0.35,0.48,36094.0,0.27,4.58,0.36,11.33,11800.0,62.53
Young Salaried,26,Salaried,30244.0,15727.0,9376.0,97386.0,293504.0,32664.0,4409575.0,Wealth Creation,0.31,0.52,14517.0,0.81,6.19,0.09,12.15,5141.0,58.08
Disciplined Saver,49,Salaried,25429.0,12714.0,9409.0,289382.0,89671.0,207501.0,4442955.0,Wealth Creation,0.37,0.5,12715.0,0.29,22.76,0.68,14.56,3306.0,78.76
Student,21,Student,19352.0,14708.0,194.0,9870.0,12268.0,0.0,585204.0,Emergency Fund,0.01,0.76,4644.0,0.05,0.67,0.0,2.52,4450.0,32.8
Disciplined Saver,25,Salaried,46014.0,20706.0,22087.0,419188.0,95009.0,695732.0,8370867.0,Wealth Creation,0.48,0.45,25308.0,0.17,20.24,1.26,15.16,3221.0,83.0
Business Owner,35,Business,794726.0,405310.0,190734.0,4895512.0,2888688.0,10776485.0,132846398.0,Wealth Creation,0.24,0.51,389416.0,0.3,12.08,1.13,13.93,198682.0,72.73
Retired,70,Retired,21242.0,14232.0,4673.0,143808.0,20299.0,764712.0,3683363.0,Retirement,0.22,0.67,7010.0,0.08,10.1,3.0,14.45,2337.0,75.22
High Income High Debt,43,Business,780699.0,616752.0,70263.0,2880779.0,15619013.0,5527349.0,136122678.0,Debt Reduction,0.09,0.79,163947.0,1.67,4.67,0.59,14.53,93684.0,38.81
Young Salaried,26,Salaried,30089.0,12036.0,6920.0,122763.0,57853.0,90267.0,3816489.0,Buy a Car,0.23,0.4,18053.0,0.16,10.2,0.25,10.57,11133.0,65.92
Student,20,Student,7142.0,5214.0,0.0,2357.0,12217.0,1714.0,337674.0,Higher Education,0.0,0.73,1928.0,0.14,0.45,0.02,3.94,1928.0,32.27
Business Owner,59,Business,671505.0,295462.0,134301.0,4666960.0,1416245.0,22079084.0,132635668.0,Wealth Creation,0.2,0.44,376043.0,0.18,15.8,2.74,16.46,241742.0,77.43
Mid Career,43,Salaried,85658.0,51395.0,24841.0,355481.0,2590172.0,596180.0,14071896.0,Buy a House,0.29,0.6,34263.0,2.52,6.92,0.58,13.69,9422.0,45.9
Freelancer,30,Freelancer,87281.0,67206.0,11347.0,302865.0,54411.0,303738.0,14076680.0,Wealth Creation,0.13,0.77,20075.0,0.05,4.51,0.29,13.44,8728.0,52.23
Business Owner,47,Business,879080.0,492285.0,228561.0,5336016.0,4901436.0,14663054.0,139457251.0,Wealth Creation,0.26,0.56,386795.0,0.46,10.84,1.39,13.22,158234.0,70.51
Mid Career,45,Salaried,108700.0,64133.0,41306.0,798945.0,2989657.0,1226136.0,21548688.0,Children Education,0.38,0.59,44567.0,2.29,12.46,0.94,16.52,3261.0,62.85
Retired,72,Retired,67028.0,44238.0,14746.0,440374.0,246075.0,1938450.0,11839826.0,Retirement,0.22,0.66,22790.0,0.31,9.95,2.41,14.72,8044.0,71.56
Young Salaried,23,Salaried,34916.0,21997.0,8729.0,158169.0,172457.0,50279.0,4638241.0,Buy a Car,0.25,0.63,12919.0,0.41,7.19,0.12,11.07,4190.0,58.55
Financially Stressed,41,Freelancer,47804.0,44936.0,956.0,1912.0,646357.0,22946.0,2891186.0,Emergency Fund,0.02,0.94,2868.0,1.13,0.04,0.04,5.04,1912.0,23.71
Student,19,Student,17528.0,14548.0,2103.0,14373.0,18682.0,8413.0,265023.0,Emergency Fund,0.12,0.83,2980.0,0.09,0.99,0.04,1.26,877.0,35.83
Retired,75,Retired,21600.0,15336.0,2592.0,227880.0,30478.0,176256.0,2796768.0,Retirement,0.12,0.71,6264.0,0.12,14.86,0.68,10.79,3672.0,63.66
Disciplined Saver,31,Freelancer,57440.0,29294.0,23550.0,523278.0,36286.0,661709.0,9918739.0,Wealth Creation,0.41,0.51,28146.0,0.05,17.86,0.96,14.39,4596.0,82.87
Disciplined Saver,44,Freelancer,50524.0,17683.0,19704.0,506756.0,17583.0,460779.0,9488407.0,Wealth Creation,0.39,0.35,32841.0,0.03,28.66,0.76,15.65,13137.0,83.41
Young Salaried,25,Salaried,75326.0,47455.0,21091.0,201874.0,225152.0,216939.0,8668516.0,Wealth Creation,0.28,0.63,27871.0,0.25,4.25,0.24,9.59,6780.0,55.83
Disciplined Saver,39,Salaried,55623.0,18912.0,27255.0,461671.0,17275.0,800971.0,11740903.0,Wealth Creation,0.49,0.34,36711.0,0.03,24.41,1.2,17.59,9456.0,84.64
High Income High Debt,34,Salaried,965026.0,685168.0,173705.0,3560946.0,16437215.0,9727462.0,145680325.0,Debt Reduction,0.18,0.71,279858.0,1.42,5.2,0.84,12.58,106153.0,45.89
Student,20,Student,17877.0,11263.0,179.0,2324.0,59121.0,2145.0,958922.0,Higher Education,0.01,0.63,6614.0,0.28,0.21,0.01,4.47,6435.0,31.52
Young Salaried,23,Salaried,71530.0,46494.0,12875.0,266092.0,120526.0,206006.0,11467690.0,Buy a Car,0.18,0.65,25036.0,0.14,5.72,0.24,13.36,12161.0,56.67
Freelancer,35,Freelancer,156085.0,63995.0,46826.0,1050452.0,29296.0,524446.0,26465773.0,Emergency Fund,0.3,0.41,92090.0,0.02,16.41,0.28,14.13,45264.0,76.3
Mid Career,44,Salaried,171670.0,85835.0,39484.0,1198257.0,1756974.0,1339026.0,29643976.0,Children Education,0.23,0.5,85835.0,0.85,13.96,0.65,14.39,46351.0,66.54
Student,19,Student,16157.0,13572.0,646.0,14380.0,35547.0,9694.0,806557.0,Higher Education,0.04,0.84,2585.0,0.18,1.06,0.05,4.16,1939.0,34.44
Student,24,Student,7510.0,4656.0,751.0,6083.0,43478.0,1802.0,230707.0,Emergency Fund,0.1,0.62,2854.0,0.48,1.31,0.02,2.56,2103.0,34.88
Freelancer,37,Freelancer,146864.0,60214.0,20561.0,616829.0,251819.0,669700.0,14292804.0,Emergency Fund,0.14,0.41,86650.0,0.14,10.24,0.38,8.11,66089.0,60.01
Student,24,Student,9759.0,6148.0,781.0,3318.0,89723.0,1171.0,386456.0,Higher Education,0.08,0.63,3611.0,0.77,0.54,0.01,3.3,2830.0,30.63
Disciplined Saver,33,Freelancer,30352.0,14265.0,13658.0,356636.0,38602.0,313233.0,5918640.0,Wealth Creation,0.45,0.47,16087.0,0.11,25.0,0.86,16.25,2429.0,82.42
Young Salaried,30,Salaried,38326.0,15714.0,6515.0,200445.0,198703.0,156370.0,5813288.0,Wealth Creation,0.17,0.41,22612.0,0.43,12.76,0.34,12.64,16097.0,65.05
Freelancer,23,Freelancer,192880.0,148518.0,36647.0,1276866.0,73790.0,601786.0,31200269.0,Emergency Fund,0.19,0.77,44362.0,0.03,8.6,0.26,13.48,7715.0,61.59
Young Salaried,26,Salaried,59070.0,24219.0,16540.0,210880.0,120628.0,141768.0,7386113.0,Wealth Creation,0.28,0.41,34851.0,0.17,8.71,0.2,10.42,18311.0,65.77
Financially Stressed,35,Salaried,38576.0,40119.0,772.0,21603.0,241900.0,0.0,2865425.0,Emergency Fund,0.02,1.04,-1543.0,0.52,0.54,0.0,6.19,-2315.0,26.94
Freelancer,43,Freelancer,137831.0,89590.0,23431.0,766340.0,96543.0,694668.0,14902288.0,Wealth Creation,0.17,0.65,48241.0,0.06,8.55,0.42,9.01,24810.0,59.21
Young Salaried,23,Salaried,55355.0,36534.0,17714.0,148351.0,169748.0,33213.0,9259784.0,Wealth Creation,0.32,0.66,18821.0,0.26,4.06,0.05,13.94,1107.0,59.34
Young Salaried,28,Salaried,74212.0,47496.0,20779.0,195178.0,292688.0,178109.0,10517325.0,Wealth Creation,0.28,0.64,26716.0,0.33,4.11,0.2,11.81,5937.0,56.18
Young Salaried,28,Salaried,38745.0,18598.0,10849.0,201474.0,111164.0,125534.0,6011674.0,Buy a Car,0.28,0.48,20147.0,0.24,10.83,0.27,12.93,9298.0,70.29
Disciplined Saver,39,Freelancer,28854.0,14138.0,12696.0,196207.0,38141.0,335861.0,5373769.0,Wealth Creation,0.44,0.49,14716.0,0.11,13.88,0.97,15.52,2020.0,82.68
Freelancer,34,Freelancer,120585.0,94056.0,18088.0,453400.0,30034.0,491987.0,17870697.0,Wealth Creation,0.15,0.78,26529.0,0.02,4.82,0.34,12.35,8441.0,53.09
Mid Career,36,Salaried,80573.0,43509.0,31423.0,570457.0,1330259.0,290063.0,13072164.0,Children Education,0.39,0.54,37064.0,1.38,13.11,0.3,13.52,5641.0,68.55
Student,22,Student,15609.0,10926.0,937.0,13580.0,35407.0,1873.0,436428.0,Higher Education,0.06,0.7,4683.0,0.19,1.24,0.01,2.33,3746.0,34.82
Freelancer,39,Freelancer,43154.0,26755.0,9925.0,170890.0,193754.0,93213.0,7394869.0,Emergency Fund,0.23,0.62,16399.0,0.37,6.39,0.18,14.28,6474.0,58.98
Young Salaried,23,Salaried,79611.0,34233.0,25476.0,230872.0,128721.0,181513.0,10699718.0,Wealth Creation,0.32,0.43,45378.0,0.13,6.74,0.19,11.2,19902.0,65.38
Student,21,Student,16670.0,10502.0,2167.0,1167.0,83413.0,2000.0,684137.0,Emergency Fund,0.13,0.63,6168.0,0.42,0.11,0.01,3.42,4001.0,35.36
Young Salaried,29,Salaried,37116.0,24868.0,11506.0,145124.0,238166.0,102440.0,5451598.0,Buy a Car,0.31,0.67,12248.0,0.53,5.84,0.23,12.24,742.0,58.84
Young Salaried,23,Salaried,31475.0,17626.0,8184.0,138490.0,14483.0,147303.0,3036708.0,Buy a Car,0.26,0.56,13849.0,0.04,7.86,0.39,8.04,5665.0,62.59
Business Owner,55,Business,815074.0,578703.0,220070.0,2543031.0,677988.0,16040656.0,158939430.0,Business,0.27,0.71,236371.0,0.07,4.39,1.64,16.25,16301.0,63.87
Young Salaried,23,Salaried,78798.0,50431.0,18912.0,232454.0,69777.0,122925.0,10325690.0,Buy a Car,0.24,0.64,28367.0,0.07,4.61,0.13,10.92,9455.0,56.44
Young Salaried,27,Salaried,36619.0,22338.0,10986.0,76534.0,272667.0,109857.0,4389886.0,Buy a Car,0.3,0.61,14281.0,0.62,3.43,0.25,9.99,3295.0,52.86
Young Salaried,28,Salaried,40330.0,19762.0,7259.0,148414.0,253824.0,130669.0,4113660.0,Buy a Car,0.18,0.49,20568.0,0.52,7.51,0.27,8.5,13309.0,54.15
Young Salaried,24,Salaried,60634.0,39412.0,20616.0,218889.0,272725.0,254663.0,10783151.0,Wealth Creation,0.34,0.65,21222.0,0.37,5.55,0.35,14.82,606.0,63.49
Student,21,Student,14272.0,12559.0,1427.0,571.0,93933.0,6851.0,320264.0,Emergency Fund,0.1,0.88,1713.0,0.55,0.05,0.04,1.87,286.0,28.95
Financially Stressed,51,Salaried,21233.0,22719.0,637.0,17836.0,635955.0,12740.0,1416666.0,Emergency Fund,0.03,1.07,-1486.0,2.5,0.79,0.05,5.56,-2123.0,11.21
Business Owner,46,Business,505360.0,363859.0,146554.0,2152834.0,5512457.0,4123738.0,84415334.0,Business,0.29,0.72,141501.0,0.91,5.92,0.68,13.92,-5053.0,56.73
Business Owner,33,Business,848702.0,424351.0,144279.0,3140197.0,5906658.0,9878891.0,141359805.0,Business,0.17,0.5,424351.0,0.58,7.4,0.97,13.88,280072.0,58.59
Young Salaried,30,Salaried,64324.0,26373.0,15438.0,377582.0,129426.0,92627.0,6638237.0,Buy a Car,0.24,0.41,37951.0,0.17,14.32,0.12,8.6,22513.0,67.64
Student,20,Student,11220.0,9313.0,224.0,112.0,30564.0,2693.0,640886.0,Higher Education,0.02,0.83,1907.0,0.23,0.01,0.02,4.76,1683.0,32.0
Student,20,Student,8246.0,5690.0,577.0,3628.0,71012.0,1979.0,182072.0,Emergency Fund,0.07,0.69,2556.0,0.72,0.64,0.02,1.84,1979.0,29.6
Student,19,Student,62.0,38.0,5.0,1.0,9093.0,22.0,3519.0,Emergency Fund,0.08,0.61,24.0,12.22,0.03,0.03,4.73,19.0,12.25
Freelancer,33,Freelancer,142645.0,109837.0,22823.0,680417.0,49015.0,838753.0,25299517.0,Wealth Creation,0.16,0.77,32808.0,0.03,6.19,0.49,14.78,9985.0,57.91
Young Salaried,24,Salaried,45599.0,29183.0,9576.0,157317.0,224338.0,196988.0,4465054.0,Buy a Car,0.21,0.64,16416.0,0.41,5.39,0.36,8.16,6840.0,52.29
Business Owner,47,Business,238692.0,97864.0,62060.0,816327.0,9392044.0,5184390.0,37350524.0,Wealth Creation,0.26,0.41,140828.0,3.28,8.34,1.81,13.04,78768.0,47.07
Young Salaried,30,Salaried,46509.0,25580.0,11162.0,224173.0,48384.0,50230.0,5078783.0,Buy a Car,0.24,0.55,20929.0,0.09,8.76,0.09,9.1,9767.0,62.52
High Income High Debt,55,Business,302484.0,211739.0,39323.0,589844.0,13620653.0,1669712.0,44247360.0,Debt Reduction,0.13,0.7,90745.0,3.75,2.79,0.46,12.19,51422.0,25.11
Young Salaried,29,Salaried,68329.0,36214.0,12983.0,286982.0,250336.0,295181.0,6748172.0,Wealth Creation,0.19,0.53,32115.0,0.31,7.92,0.36,8.23,19132.0,57.04
Business Owner,32,Business,348577.0,257947.0,55772.0,1680141.0,1921842.0,11042919.0,66257516.0,Wealth Creation,0.16,0.74,90630.0,0.46,6.51,2.64,15.84,34858.0,61.86
High Income High Debt,46,Business,690623.0,607748.0,138125.0,1098091.0,7152586.0,6381357.0,89007492.0,Debt Reduction,0.2,0.88,82875.0,0.86,1.81,0.77,10.74,-55250.0,42.82
